Words,Definition,Star
Tacit,Silently understood; implied,Y
Taciturn,Habitually untalkative,Y
Talisman,Charm to bring good luck and avert misfortune,
Tangential,Peripheral; digressing,Y
Tautology,Unnecessary repetition,
Taxonomy,"Science of classification; in biology, the process of classifying organisms in categories",
Tenet,Belief; doctrine,
Tenuous,Weak; insubstantial,Y
Theocracy,Government by priests representing a god,
Thespian,An actor or actress,
Timbre,The characteristic quality of sound produced by a particular instrument or voice; tone color,
Tirade,"Long, violent speech; verbal assault",Y
Toady,Flatterer; hanger-on; yes-man,Y
Tome,"Book, usually large and academic",
Torpor,Lethargy; dormancy; sluggishness,Y
Torque,A turning or twisting force; the moment of a force,
Tortuous,Having many twists and turns; highly complex,Y
Tout,To promote or praise energetically,
Tractable,Obedient; yielding,Y
Transgression,Act of trespassing or violating a law or rule,Y
Transient,Temporary; short-lived; fleeting,
Translucent,Partially transparent,
Travail,"Work, especially arduous work; tribulation; anguish",
Travesty,Parody; exaggerated imitation; caricature,
Treatise,Article treating a subject systematically and thoroughly,
Tremulous,Trembling; quivering; frugal; timid,
Trepidation,Fear and anxiety,
Truculence,Aggressiveness; ferocity,Y
Tryst,Agreement between lovers to meet; rendezvous,
Tumid,Swollen; distended,
Turbid,Muddy; opaque; in a state of great confusion,
Turgid,Swollen; bloated; pompous,Y
Tutelary,Serving as a guardian or protector,
Uncanny,Mysterious; strange,
Undulating,Moving in waves,
Unfeigned,Not false; not made up; genuine,
Untenable,Indefensible,Y
Untoward,Not favorable; troublesome; adverse; unruly,
Usury,Practice of lending money at exorbitant rates,
Vacillate,To waver; oscillate,Y
Vacuous,Empty; void; lacking intelligence; purposeless,
Valedictory,Pertaining to a farewell,
Vapid,Tasteless; dull,Y
Variegated,Varied; marked with different colors,
Vaunt,To boast; brag,
Venal,Bribable; mercenary; corruptible,
Vendetta,Prolonged feud marked by bitter hostility,
Venerate,To adore; honor; respect,Y
Veracious,Truthful; accurate,Y
Verbose,Wordy,Y
Vertigo,Dizziness,
Vexation,Irritation; annoyance; confusion; puzzlement,
Viable,Practicable; capable of developing,Y
Vindictive,Spiteful; vengeful; unforgibing,
Virtuoso,Someone with masterly skills; expert musician,
Visage,Countenance; appearance; aspect,
Viscous,Thick; syrupy and sticky,Y
Vititate,To impair the quality of; corrupt morally; make inoperative,Y
Vituperative,"Using or containing harsh, abusive censure",Y
Vivisection,"dissection, surgery, or painful experiments performed on a living animal for the purpose of scientific research",
Vogue,Prevailing fashion or practice,
Volatile,Tending to vary frequently; fickle,Y
Vortex,Whirlpool; whirlwind; center of turbulence,
Warranted,Justified,
Wary,Careful; cautious,
Welter,To wallow or roll; toss about; be in turmoil,
Whimsical,Fanciful; unpredictable,Y
Wistful,Vaguely longing; sadly thoughtful,
Zealot,One who is fanatically devoted to a cause,Y
